cluster,cantidad_transacciones,porcentaje_total,tipo,tasa_fraude,monto_promedio,monto_mediano
48,10,0.002,cluster,0.2,50.46900000000001,55.9
49,18,0.0036,cluster,0.0,134.10222222222222,108.755
50,6,0.0012,cluster,0.0,49.32333333333333,25.979999999999997
51,10,0.002,cluster,0.2,139.639,108.295
52,18,0.0036,cluster,0.3333333333333333,170.36388888888888,116.88
53,17,0.0034,cluster,0.23529411764705882,174.68529411764703,169.16
54,24,0.0048,cluster,0.08333333333333333,27.037500000000005,11.82
55,5,0.001,cluster,0.4,31.375999999999998,29.71
56,9,0.0018,cluster,0.0,7.08,6.15
57,5,0.001,cluster,0.0,8.190000000000001,6.99
58,10,0.002,cluster,0.0,36.858,26.11
59,24,0.0048,cluster,0.125,30.09875,19.335
60,20,0.004,cluster,0.05,51.092499999999994,48.485
61,13,0.0026,cluster,0.0,76.82615384615384,73.23
62,12,0.0024,cluster,0.0,59.785833333333336,60.364999999999995
63,5,0.001,cluster,0.0,6.446000000000001,7.96
64,18,0.0036,cluster,0.0,66.46666666666667,66.045
65,10,0.002,cluster,0.1,172.60100000000003,174.37
66,9,0.0018,cluster,0.1111111111111111,65.17333333333335,79.05
67,11,0.0022,cluster,0.0,34.807272727272725,34.7
68,11,0.0022,cluster,0.0,44.832727272727276,49.43
69,9,0.0018,cluster,0.1111111111111111,92.92555555555556,73.34
70,7,0.0014,cluster,0.0,73.00571428571428,76.08
71,7,0.0014,cluster,0.0,50.58142857142857,51.22
72,7,0.0014,cluster,0.0,16.455714285714286,7.97
73,11,0.0022,cluster,0.0,48.218181818181826,42.31
74,13,0.0026,cluster,0.07692307692307693,122.90076923076923,106.71
75,24,0.0048,cluster,0.041666666666666664,27.014166666666668,13.32
76,13,0.0026,cluster,0.15384615384615385,54.63153846153846,56.06
77,6,0.0012,cluster,0.0,94.91166666666665,85.42
78,6,0.0012,cluster,0.3333333333333333,178.78666666666663,126.185
79,8,0.0016,cluster,0.0,106.455,85.64
80,6,0.0012,cluster,0.0,6.008333333333333,5.96
81,8,0.0016,cluster,0.25,165.865,144.55
82,5,0.001,cluster,0.0,55.402,72.24
83,7,0.0014,cluster,0.0,58.868571428571435,50.72
84,6,0.0012,cluster,0.0,129.41,84.47
85,44,0.0088,cluster,0.045454545454545456,29.496363636363636,15.04
86,8,0.0016,cluster,0.125,65.6075,47.34
87,16,0.0032,cluster,0.0625,63.536875,37.05
88,11,0.0022,cluster,0.18181818181818182,42.04454545454546,24.82
89,9,0.0018,cluster,0.1111111111111111,54.541111111111114,52.25
90,9,0.0018,cluster,0.0,62.71111111111111,59.43
91,5,0.001,cluster,0.0,127.80199999999999,36.54
92,6,0.0012,cluster,0.0,6.473333333333334,7.3149999999999995
93,7,0.0014,cluster,0.0,78.17285714285715,79.07
94,11,0.0022,cluster,0.0,73.13454545454546,52.5
95,5,0.001,cluster,0.4,162.40200000000002,78.47
96,6,0.0012,cluster,0.0,6.25,5.455
97,7,0.0014,cluster,0.0,7.848571428571427,6.26
98,7,0.0014,cluster,0.0,7.4471428571428575,7.78
99,5,0.001,cluster,0.0,57.77199999999999,48.71
100,5,0.001,cluster,0.0,64.566,66.62
101,3,0.0006,cluster,0.0,36.02,8.31
102,6,0.0012,cluster,0.0,50.24166666666667,47.945
103,12,0.0024,cluster,0.0,62.61333333333332,67.83500000000001
104,11,0.0022,cluster,0.09090909090909091,59.14545454545455,57.25
105,9,0.0018,cluster,0.0,35.882222222222225,40.04
106,7,0.0014,cluster,0.0,57.96999999999999,28.1
107,5,0.001,cluster,0.0,74.104,69.48
108,5,0.001,cluster,1.0,987.814,929.39
109,5,0.001,cluster,0.0,57.298,55.92
110,6,0.0012,cluster,0.0,115.62166666666667,110.16499999999999
111,5,0.001,cluster,0.4,193.66799999999998,172.79
112,4,0.0008,cluster,0.0,3.2975,2.995
113,8,0.0016,cluster,0.0,66.50625,66.88
114,5,0.001,cluster,0.0,7.605999999999999,7.77
115,5,0.001,cluster,0.0,89.44800000000001,90.34
116,8,0.0016,cluster,1.0,1026.005,1022.925
117,6,0.0012,cluster,0.0,117.10833333333335,105.47
118,9,0.0018,cluster,0.0,10.473333333333333,6.59
119,5,0.001,cluster,0.0,45.99400000000001,43.33
120,3,0.0006,cluster,0.3333333333333333,68.58999999999999,47.44
121,6,0.0012,cluster,0.0,67.65166666666666,66.78
122,5,0.001,cluster,0.0,39.205999999999996,44.64
123,5,0.001,cluster,0.0,68.89,74.99
124,5,0.001,cluster,0.0,56.327999999999996,54.41
125,4,0.0008,cluster,0.0,59.05500000000001,57.175
126,5,0.001,cluster,0.0,9.088,7.08
127,7,0.0014,cluster,0.14285714285714285,122.80999999999997,96.54
128,7,0.0014,cluster,0.0,41.83,39.24
129,5,0.001,cluster,0.0,42.684000000000005,46.99
130,5,0.001,cluster,1.0,921.8,895.84
131,4,0.0008,cluster,0.0,79.03,67.98
132,4,0.0008,cluster,0.0,55.457499999999996,56.0
133,6,0.0012,cluster,0.3333333333333333,39.154999999999994,46.92
134,5,0.001,cluster,0.0,67.362,77.9
135,6,0.0012,cluster,0.0,23.891666666666666,24.28
136,6,0.0012,cluster,0.0,73.98166666666667,67.765
137,5,0.001,cluster,0.0,69.16,75.51
138,4,0.0008,cluster,0.0,45.24,42.135
139,6,0.0012,cluster,0.0,3.5933333333333333,2.3
140,4,0.0008,cluster,0.0,83.94749999999999,88.005
141,5,0.001,cluster,0.0,85.46600000000001,88.92
142,5,0.001,cluster,0.0,112.556,99.57
143,6,0.0012,cluster,0.16666666666666666,46.468333333333334,43.985
144,5,0.001,cluster,0.0,73.398,73.4
145,5,0.001,cluster,0.0,5.3919999999999995,4.41
146,4,0.0008,cluster,0.0,71.00999999999999,71.13
147,5,0.001,cluster,0.4,193.032,137.43
148,5,0.001,cluster,1.0,1048.0800000000002,1057.22
149,5,0.001,cluster,0.2,6.556,5.42
150,4,0.0008,cluster,0.25,51.207499999999996,54.019999999999996
151,5,0.001,cluster,0.0,82.884,73.75
152,5,0.001,cluster,0.0,40.971999999999994,50.55
153,3,0.0006,cluster,0.0,93.54,99.24
154,5,0.001,cluster,0.0,91.17600000000002,95.58
155,5,0.001,cluster,0.8,273.13,313.89
156,5,0.001,cluster,0.0,93.78200000000001,65.92
157,4,0.0008,cluster,0.25,23.3725,17.58
158,4,0.0008,cluster,0.0,90.7725,87.78999999999999
